experiment;iou_threshold;image;gt;pred;tp;fp;fn;precision;recall;f1;mean_iou_tp;pred_labels_dir
baseline_original_img1280_conf025;0.5;Alta-densidad_02;466;49;13;36;453;0.265306;0.027897;0.050485;0.642003;data/evaluation_predictions/baseline_original_img1280_conf025/labels
baseline_original_img1280_conf025;0.5;Alta_densidad_objetos_04;381;79;20;59;361;0.253165;0.052493;0.086957;0.626891;data/evaluation_predictions/baseline_original_img1280_conf025/labels
baseline_original_img1280_conf025;0.5;Baja_densidad_03;40;300;17;283;23;0.056667;0.425;0.1;0.673305;data/evaluation_predictions/baseline_original_img1280_conf025/labels
baseline_original_img1280_conf025;0.5;Baja_densidad_05;128;176;68;108;60;0.386364;0.53125;0.447368;0.644847;data/evaluation_predictions/baseline_original_img1280_conf025/labels
baseline_original_img1280_conf025;0.5;Densidad_media_07;251;158;55;103;196;0.348101;0.219124;0.268949;0.631033;data/evaluation_predictions/baseline_original_img1280_conf025/labels
cpu_best_conf025;0.5;Alta-densidad_02;466;300;131;169;335;0.436667;0.281116;0.342037;0.641877;data/evaluation_predictions/cpu_best_conf025/labels
cpu_best_conf025;0.5;Alta_densidad_objetos_04;381;300;164;136;217;0.546667;0.430446;0.481645;0.661121;data/evaluation_predictions/cpu_best_conf025/labels
cpu_best_conf025;0.5;Baja_densidad_03;40;98;28;70;12;0.285714;0.7;0.405797;0.706728;data/evaluation_predictions/cpu_best_conf025/labels
cpu_best_conf025;0.5;Baja_densidad_05;128;246;98;148;30;0.398374;0.765625;0.524064;0.737517;data/evaluation_predictions/cpu_best_conf025/labels
cpu_best_conf025;0.5;Densidad_media_07;251;300;150;150;101;0.5;0.59761;0.544465;0.648944;data/evaluation_predictions/cpu_best_conf025/labels
cpu_best_conf040;0.5;Alta-densidad_02;466;281;128;153;338;0.455516;0.274678;0.342704;0.643669;data/evaluation_predictions/cpu_best_conf040/labels
cpu_best_conf040;0.5;Alta_densidad_objetos_04;381;205;127;78;254;0.619512;0.333333;0.433447;0.666258;data/evaluation_predictions/cpu_best_conf040/labels
cpu_best_conf040;0.5;Baja_densidad_03;40;54;24;30;16;0.444444;0.6;0.510638;0.720014;data/evaluation_predictions/cpu_best_conf040/labels
cpu_best_conf040;0.5;Baja_densidad_05;128;180;91;89;37;0.505556;0.710938;0.590909;0.743881;data/evaluation_predictions/cpu_best_conf040/labels
cpu_best_conf040;0.5;Densidad_media_07;251;238;130;108;121;0.546218;0.517928;0.531697;0.653344;data/evaluation_predictions/cpu_best_conf040/labels
gpu_best_conf025_maxdet1000;0.5;Alta-densidad_02;466;496;164;332;302;0.330645;0.351931;0.340956;0.629939;data/evaluation_predictions/gpu_best_conf025_maxdet1000/labels
gpu_best_conf025_maxdet1000;0.5;Alta_densidad_objetos_04;381;318;173;145;208;0.544025;0.454068;0.494993;0.661655;data/evaluation_predictions/gpu_best_conf025_maxdet1000/labels
gpu_best_conf025_maxdet1000;0.5;Baja_densidad_03;40;64;27;37;13;0.421875;0.675;0.519231;0.708099;data/evaluation_predictions/gpu_best_conf025_maxdet1000/labels
gpu_best_conf025_maxdet1000;0.5;Baja_densidad_05;128;225;94;131;34;0.417778;0.734375;0.532578;0.73602;data/evaluation_predictions/gpu_best_conf025_maxdet1000/labels
gpu_best_conf025_maxdet1000;0.5;Densidad_media_07;251;325;152;173;99;0.467692;0.605578;0.527778;0.646428;data/evaluation_predictions/gpu_best_conf025_maxdet1000/labels
gpu_best_conf040_maxdet1000;0.5;Alta-densidad_02;466;330;134;196;332;0.406061;0.287554;0.336683;0.635636;data/evaluation_predictions/gpu_best_conf040_maxdet1000/labels
gpu_best_conf040_maxdet1000;0.5;Alta_densidad_objetos_04;381;210;137;73;244;0.652381;0.35958;0.463621;0.665442;data/evaluation_predictions/gpu_best_conf040_maxdet1000/labels
gpu_best_conf040_maxdet1000;0.5;Baja_densidad_03;40;43;24;19;16;0.55814;0.6;0.578313;0.720263;data/evaluation_predictions/gpu_best_conf040_maxdet1000/labels
gpu_best_conf040_maxdet1000;0.5;Baja_densidad_05;128;164;88;76;40;0.536585;0.6875;0.60274;0.740631;data/evaluation_predictions/gpu_best_conf040_maxdet1000/labels
gpu_best_conf040_maxdet1000;0.5;Densidad_media_07;251;247;131;116;120;0.530364;0.521912;0.526104;0.650964;data/evaluation_predictions/gpu_best_conf040_maxdet1000/labels
gpu_last_conf025_maxdet1000;0.5;Alta-densidad_02;466;115;56;59;410;0.486957;0.120172;0.192771;0.643005;data/evaluation_predictions/gpu_last_conf025_maxdet1000/labels
gpu_last_conf025_maxdet1000;0.5;Alta_densidad_objetos_04;381;74;58;16;323;0.783784;0.152231;0.254945;0.680857;data/evaluation_predictions/gpu_last_conf025_maxdet1000/labels
gpu_last_conf025_maxdet1000;0.5;Baja_densidad_03;40;6;6;0;34;1.0;0.15;0.26087;0.690947;data/evaluation_predictions/gpu_last_conf025_maxdet1000/labels
gpu_last_conf025_maxdet1000;0.5;Baja_densidad_05;128;60;50;10;78;0.833333;0.390625;0.531915;0.725044;data/evaluation_predictions/gpu_last_conf025_maxdet1000/labels
gpu_last_conf025_maxdet1000;0.5;Densidad_media_07;251;73;56;17;195;0.767123;0.223108;0.345679;0.661124;data/evaluation_predictions/gpu_last_conf025_maxdet1000/labels
gpu_last_conf030_maxdet1000;0.5;Alta-densidad_02;466;6;3;3;463;0.5;0.006438;0.012712;0.623977;data/evaluation_predictions/gpu_last_conf030_maxdet1000/labels
gpu_last_conf030_maxdet1000;0.5;Alta_densidad_objetos_04;381;3;3;0;378;1.0;0.007874;0.015625;0.703318;data/evaluation_predictions/gpu_last_conf030_maxdet1000/labels
gpu_last_conf030_maxdet1000;0.5;Baja_densidad_03;40;1;1;0;39;1.0;0.025;0.04878;0.806528;data/evaluation_predictions/gpu_last_conf030_maxdet1000/labels
gpu_last_conf030_maxdet1000;0.5;Baja_densidad_05;128;16;16;0;112;1.0;0.125;0.222222;0.753094;data/evaluation_predictions/gpu_last_conf030_maxdet1000/labels
gpu_last_conf030_maxdet1000;0.5;Densidad_media_07;251;5;3;2;248;0.6;0.011952;0.023438;0.558468;data/evaluation_predictions/gpu_last_conf030_maxdet1000/labels
baseline_original_img1280_conf025;0.3;Alta-densidad_02;466;49;27;22;439;0.55102;0.05794;0.104854;0.515105;data/evaluation_predictions/baseline_original_img1280_conf025/labels
baseline_original_img1280_conf025;0.3;Alta_densidad_objetos_04;381;79;39;40;342;0.493671;0.102362;0.169565;0.520098;data/evaluation_predictions/baseline_original_img1280_conf025/labels
