epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6048,3.89053,3.55755,3.0999,0.24387,0.20853,0.1099,0.03012,3.1321,2.32723,2.49003,0.00012,0.00012,0.00012
2,95.5512,3.55897,2.72027,2.62963,0.27867,0.33017,0.16796,0.05305,2.81792,1.88766,2.13388,0.00024713,0.00024713,0.00024713
3,135.23,3.19309,2.10489,2.31188,0.40875,0.3981,0.2611,0.08794,2.66097,1.4632,1.91889,0.0003604,0.0003604,0.0003604
4,196.126,2.91976,1.62772,1.96692,0.49693,0.4218,0.29866,0.09272,2.73964,1.3636,1.91651,0.00045981,0.00045981,0.00045981
5,257.855,2.93093,1.52498,1.71935,0.49693,0.4218,0.29866,0.09272,2.73964,1.3636,1.91651,0.00054536,0.00054536,0.00054536
6,301.4,2.96405,1.68495,1.93185,0.50309,0.4376,0.30188,0.09006,2.77167,1.34818,1.92737,0.00061705,0.00061705,0.00061705
7,353.63,2.92088,1.56739,1.88798,0.50309,0.4376,0.30188,0.09006,2.77167,1.34818,1.92737,0.00067488,0.00067488,0.00067488
8,411.641,2.76807,1.52184,1.90258,0.46697,0.40521,0.2712,0.0744,2.87756,1.40379,1.95146,0.00071885,0.00071885,0.00071885
9,483.279,2.9586,1.6677,1.68465,0.46697,0.40521,0.2712,0.0744,2.87756,1.40379,1.95146,0.00074896,0.00074896,0.00074896
10,535.258,2.7839,1.54773,1.73345,0.46697,0.40521,0.2712,0.0744,2.87756,1.40379,1.95146,0.00076521,0.00076521,0.00076521
11,564.649,2.87856,1.69697,1.68608,0.46697,0.40521,0.2712,0.0744,2.87756,1.40379,1.95146,0.0007676,0.0007676,0.0007676
12,604.414,2.87949,1.76815,1.69518,0.45408,0.39021,0.25819,0.07124,2.85392,1.45654,1.86298,0.00075613,0.00075613,0.00075613
13,633,2.76396,1.8347,1.71414,0.45408,0.39021,0.25819,0.07124,2.85392,1.45654,1.86298,0.0007308,0.0007308,0.0007308
14,662.579,2.77956,1.89079,1.773,0.45408,0.39021,0.25819,0.07124,2.85392,1.45654,1.86298,0.00069161,0.00069161,0.00069161
15,692.126,2.82867,1.73496,1.77672,0.45408,0.39021,0.25819,0.07124,2.85392,1.45654,1.86298,0.000614,0.000614,0.000614
16,721.42,2.77108,1.69369,1.65455,0.48553,0.44076,0.30958,0.08847,2.62531,1.48835,1.6513,0.000515,0.000515,0.000515
17,753.994,2.53079,1.65098,1.48299,0.48553,0.44076,0.30958,0.08847,2.62531,1.48835,1.6513,0.000416,0.000416,0.000416
18,786.571,2.49955,1.65857,1.51544,0.48553,0.44076,0.30958,0.08847,2.62531,1.48835,1.6513,0.000317,0.000317,0.000317
19,818.76,2.54463,1.60915,1.49216,0.48553,0.44076,0.30958,0.08847,2.62531,1.48835,1.6513,0.000218,0.000218,0.000218
20,889.317,2.6044,1.67425,1.48063,0.48553,0.44076,0.30958,0.08847,2.62531,1.48835,1.6513,0.000119,0.000119,0.000119
